Epoch,Loss,nu,rho
1,0.16890382766723633,4.956356525421143,10.000011444091797
2,0.16395717859268188,4.941213607788086,10.000089645385742
3,0.16319669783115387,4.925319194793701,10.000219345092773
4,0.16296932101249695,4.914906978607178,10.000412940979004
5,0.16283224523067474,4.910905361175537,10.000821113586426
6,0.16266091167926788,4.901136875152588,10.00207233428955
7,0.1624116599559784,4.895053863525391,10.003462791442871
8,0.1620730459690094,4.893371105194092,10.005772590637207
9,0.161312073469162,4.885907173156738,10.009444236755371
10,0.16086459159851074,4.885173320770264,10.01124095916748
11,0.160169318318367,4.8830246925354,10.016033172607422
12,0.15914924442768097,4.875701904296875,10.02364730834961
13,0.15808747708797455,4.869607925415039,10.032143592834473
14,0.1575167030096054,4.86370849609375,10.039608001708984
15,0.15719673037528992,4.859421253204346,10.04876708984375
16,0.15689724683761597,4.854873180389404,10.062320709228516
17,0.15648023784160614,4.848020076751709,10.084613800048828
18,0.15606406331062317,4.840112686157227,10.11097240447998
19,0.15564365684986115,4.834969520568848,10.133837699890137
20,0.15537622570991516,4.828310012817383,10.153759002685547
21,0.15505890548229218,4.825026035308838,10.169055938720703
22,0.15473370254039764,4.8205437660217285,10.188668251037598
23,0.1544811725616455,4.817258358001709,10.203228950500488
24,0.1542850136756897,4.813113689422607,10.220430374145508
25,0.154171884059906,4.808541774749756,10.233451843261719
26,0.15407608449459076,4.802648067474365,10.249884605407715
27,0.15400472283363342,4.7974114418029785,10.266908645629883
28,0.15392665565013885,4.7895379066467285,10.288870811462402
29,0.15385688841342926,4.78038215637207,10.308521270751953
30,0.15379643440246582,4.768449306488037,10.32845687866211
31,0.15371978282928467,4.74875545501709,10.359392166137695
32,0.15363794565200806,4.726755142211914,10.385815620422363
33,0.15356503427028656,4.705066204071045,10.407465934753418
34,0.15350016951560974,4.678146839141846,10.42640209197998
35,0.15343981981277466,4.6501054763793945,10.440308570861816
36,0.15337209403514862,4.604825019836426,10.464317321777344
37,0.15330684185028076,4.550735950469971,10.486011505126953
38,0.15322616696357727,4.4815874099731445,10.508305549621582
39,0.15315155684947968,4.401139736175537,10.533073425292969
40,0.15306243300437927,4.283329010009766,10.566078186035156
41,0.1529550701379776,4.1522650718688965,10.596358299255371
42,0.15276694297790527,3.9155161380767822,10.648239135742188
43,0.1523667871952057,3.535325527191162,10.720072746276855
44,0.15177224576473236,3.1175930500030518,10.793752670288086
45,0.15070490539073944,2.4115047454833984,10.904671669006348
46,0.13657595217227936,0.09334588050842285,11.315284729003906
47,0.11613014340400696,0.0019836800638586283,11.305558204650879
48,0.1058838739991188,0.004732149187475443,11.261359214782715
49,0.09691120684146881,-0.0007930551073513925,11.162371635437012
50,0.08462811261415482,0.006742264609783888,11.104260444641113
51,0.07465649396181107,0.0015889902133494616,11.085625648498535
52,0.06947435438632965,0.000154889581608586,11.08105754852295
53,0.06538372486829758,0.0012162704952061176,11.082877159118652
54,0.06054344028234482,0.0033604237250983715,11.094595909118652
55,0.05539622902870178,0.002589927054941654,11.091116905212402
56,0.05060817673802376,0.0033731316216289997,11.093420028686523
57,0.04762810096144676,0.005045353434979916,11.088730812072754
58,0.04472942650318146,0.006289339158684015,11.0861234664917
59,0.042124487459659576,0.005895308218896389,11.0794677734375
60,0.04015082120895386,0.005945833865553141,11.076656341552734
61,0.03842300921678543,0.005759037099778652,11.08115291595459
62,0.037041522562503815,0.007360640913248062,11.079450607299805
63,0.03572750836610794,0.007189757190644741,11.074477195739746
64,0.03451990708708763,0.008392001502215862,11.072065353393555
65,0.03329437971115112,0.006498401053249836,11.071314811706543
66,0.03218168765306473,0.009100993163883686,11.068002700805664
67,0.03130248934030533,0.007206921931356192,11.066781997680664
68,0.03026317059993744,0.008947482332587242,11.067489624023438
69,0.029609452933073044,0.006509237922728062,11.065963745117188
70,0.0288507379591465,0.007215363439172506,11.06423568725586
71,0.027953803539276123,0.007849162444472313,11.065592765808105
72,0.027346402406692505,0.006023289170116186,11.062975883483887
73,0.026665836572647095,0.007246083114296198,11.061225891113281
74,0.02605794183909893,0.008670089766383171,11.060067176818848
