,10 neurons per layer,20 neurons per layer,40 neurons per layer
3,0.07861912173793466,0.036910592157274644,0.015361080124766628
5,0.015296423211417484,0.00047546980059709254,3.87917125482968e-05
7,0.003722765677552895,0.0006460624667860237,2.6713627173431766e-05
9,0.00023083276529196211,0.00015670308360184293,2.4079444007784645e-05
