,1280 collocation points,6400 collocation points,11520 collocation points
20,0.06612470180907201,0.03961722077456175,0.022890526483173027
60,0.02091397458652362,0.0038254721608439015,0.00041220943671263754
100,0.011648863944890337,0.00037231855568213936,2.2554973947749094e-05
