Epoch,Loss
1,0.160806804895401
2,0.12397606670856476
3,0.10737328231334686
4,0.08440347015857697
5,0.07078509032726288
6,0.057537540793418884
7,0.050635628402233124
8,0.04321441426873207
9,0.03990324214100838
10,0.03739676997065544
11,0.03492629528045654
12,0.033248573541641235
13,0.032199278473854065
14,0.03076019324362278
15,0.02973978780210018
16,0.028979524970054626
17,0.028426188975572586
18,0.027809301391243935
19,0.027181711047887802
20,0.02667301893234253
21,0.026292432099580765
22,0.025758475065231323
23,0.02539259009063244
24,0.02493157982826233
25,0.024518990889191628
26,0.0242338664829731
27,0.02385438233613968
28,0.02356669306755066
29,0.023131046444177628
30,0.02269652485847473
31,0.022402368485927582
32,0.02211296372115612
33,0.02183317020535469
34,0.02153458446264267
35,0.02124873921275139
36,0.020913617685437202
37,0.020523082464933395
38,0.02018909342586994
39,0.01983349770307541
40,0.019334685057401657
41,0.018767165020108223
42,0.01821398362517357
43,0.017612822353839874
44,0.016856491565704346
45,0.015995245426893234
46,0.015144441276788712
47,0.014539288356900215
48,0.014063479378819466
49,0.01357386726886034
50,0.013073309324681759
51,0.012801718898117542
52,0.012447990477085114
53,0.012151339091360569
54,0.011824076995253563
55,0.011429252102971077
56,0.011169727891683578
57,0.010844307020306587
58,0.010608665645122528
59,0.010351987555623055
60,0.010102499276399612
61,0.009838253259658813
62,0.009575018659234047
63,0.009368887171149254
64,0.009172734804451466
65,0.008989572525024414
66,0.008766304701566696
67,0.008511519059538841
68,0.00828932598233223
69,0.008094381541013718
70,0.007878357544541359
71,0.007730564568191767
72,0.007547476794570684
73,0.0073389699682593346
74,0.007117120549082756
75,0.0068810125812888145
76,0.006667737849056721
77,0.006503741256892681
78,0.00629408098757267
79,0.006142097525298595
80,0.0059643881395459175
81,0.0058321841061115265
82,0.005708631128072739
83,0.00551704503595829
84,0.0053939069621264935
85,0.005215156823396683
86,0.005114956758916378
87,0.005012402310967445
88,0.004904727451503277
89,0.004798963665962219
90,0.004669871646910906
91,0.0045765661634504795
92,0.00449377903714776
93,0.004376992583274841
94,0.0042639365419745445
95,0.004151544999331236
96,0.004054161254316568
97,0.00397647637873888
98,0.0039004457648843527
99,0.003835672279819846
100,0.003753889352083206
101,0.0036743758246302605
102,0.00360188540071249
103,0.0035514815244823694
104,0.00347425090149045
105,0.003396797925233841
106,0.003353733103722334
107,0.0032937442883849144
108,0.003250321839004755
109,0.0031984662637114525
110,0.00313737103715539
111,0.0030775575432926416
112,0.003026790451258421
113,0.0029800652991980314
114,0.0029337583109736443
115,0.0028766009490936995
116,0.0028232834301888943
117,0.0027788523584604263
118,0.0027401994448155165
119,0.0027015958912670612
120,0.0026542008854448795
121,0.0026138746179640293
122,0.002564808586612344
123,0.002540060319006443
124,0.002507602795958519
125,0.0024699694477021694
126,0.002424707403406501
127,0.002385396510362625
128,0.0023520239628851414
129,0.002325954381376505
130,0.0022884258069097996
131,0.0022492320276796818
132,0.002211298793554306
133,0.0021800613030791283
134,0.0021567572839558125
135,0.0021252217702567577
136,0.0020971649792045355
137,0.002064129337668419
138,0.0020288408268243074
139,0.0020050713792443275
140,0.001981789246201515
141,0.0019574572797864676
142,0.0019278018735349178
143,0.0018989555537700653
144,0.0018752473406493664
145,0.001851676031947136
146,0.001827878295443952
147,0.0018061373848468065
148,0.0017845904221758246
149,0.001763868611305952
150,0.0017455194611102343
151,0.001724322559311986
152,0.0017023039981722832
153,0.001682808855548501
154,0.0016628846060484648
155,0.0016499579651281238
156,0.0016363332979381084
157,0.001617801608517766
158,0.0016025144141167402
159,0.00158742256462574
160,0.0015675351023674011
161,0.0015532855177298188
162,0.0015353055205196142
163,0.001525143627077341
164,0.001509401248767972
165,0.0014946801820769906
166,0.001477457582950592
167,0.0014592522056773305
168,0.0014474579365924
169,0.001434276346117258
170,0.0014205980114638805
171,0.0014059627428650856
172,0.0013940606731921434
173,0.001380748930387199
174,0.0013673612847924232
175,0.0013557885540649295
176,0.001342392642982304
177,0.0013300338760018349
178,0.001318441005423665
179,0.0013087773695588112
180,0.0012980761239305139
181,0.0012875564862042665
182,0.0012781040277332067
183,0.0012691724114120007
184,0.0012571858242154121
185,0.0012437279801815748
186,0.0012298687361180782
187,0.0012192890280857682
188,0.0012089031515643
189,0.0012002743314951658
