,RMSE,R2
50,0.0005276962406264374,0.9986017979698554
200,0.000368635520533615,0.9990232507008546
1000,2.8480562155710665e-05,0.9999245369271942
5000,1.1471582606549773e-05,0.9999696045018809
10000,9.106341910730752e-06,0.9999758715246263
